form	lemma	POS	morph
DE	de	PRE	MORPH=empty
CHARLOT	Charlot	NOMpro	NOMB.=s|GENRE=m|CAS=r
LE	le	DETdef	NOMB.=s|GENRE=m|CAS=r
JUIF	jüif	NOMpro	NOMB.=s|GENRE=m|CAS=r
QUI	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
CHIA	chiier	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
EN	en1	PRE	MORPH=empty
LA	le	DETdef	NOMB.=s|GENRE=f|CAS=r
PEL	pel2	NOMcom	NOMB.=s|GENRE=f|CAS=r
DOU	de+le	PRE.DETdef	MORPH=empty+NOMB.=s|GENRE=m|CAS=r
LIEVRE	lievre	NOMcom	NOMB.=s|GENRE=m|CAS=r
.	.	PONfrt	MORPH=empty
QUI	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
menestreil	menestrel	NOMcom	NOMB.=s|GENRE=m|CAS=r
vuet	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
engignier	engignier1	VERinf	MORPH=empty
,	,	PONfbl	MORPH=empty
Mout	mout	ADVgen	DEGRE=-
en	en2	PROadv	MORPH=empty
porroit	pöoir	VERcjg	MODE=con|PERS.=3|NOMB.=s
mieulz	mieus	ADVgen	DEGRE=c
bargignier	bargaignier	VERinf	MORPH=empty
;	;	PONfbl	MORPH=empty
Car	car	CONcoo	MORPH=empty
mout	mout	ADVgen	DEGRE=-
soventes	sovent	ADJqua	NOMB.=p|GENRE=f|CAS=r|DEGRE=p
fois	foiz	NOMcom	NOMB.=p|GENRE=f|CAS=r
avient	avenir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
Que	que4	CONsub	MORPH=empty
cil	cel	PROdem	NOMB.=s|GENRE=m|CAS=n
por	por2	PRE	MORPH=empty
engignié	engignier1	VERppe	NOMB.=s|GENRE=m|CAS=r
se	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
tient	tenir1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
Qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
menestreil	menestrel	NOMcom	NOMB.=s|GENRE=m|CAS=r
engignier	engignier1	VERinf	MORPH=empty
cuide	cuidier1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
,	,	PONfbl	MORPH=empty
Et	et	CONcoo	MORPH=empty
s'	si	ADVgen	DEGRE=-
en	en2	PROadv	MORPH=empty
trueve	trover	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r
bource	borse	NOMcom	NOMB.=s|GENRE=f|CAS=r
vuide	vuit	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
;	;	PONfbl	MORPH=empty
Ne	ne1	ADVneg	MORPH=empty
voi	vëoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
nelui	nul	PROind	NOMB.=s|GENRE=m|CAS=r
cui	cui	PROrel	NOMB.=s|GENRE=m|CAS=i
bien	bien1	ADVgen	DEGRE=p
en	en2	PROadv	MORPH=empty
chiée	chëoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
.	.	PONfrt	MORPH=empty
Por	por2	PRE	MORPH=empty
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r
devroit	devoir	VERcjg	MODE=con|PERS.=3|NOMB.=s
estre	estre1	VERinf	MORPH=empty
estanchiée	estanchier	VERppe	NOMB.=s|GENRE=f|CAS=n
La	le	DETdef	NOMB.=s|GENRE=f|CAS=n
vilonie	vilenie	NOMcom	NOMB.=s|GENRE=f|CAS=n
c'	que2	PROrel	NOMB.=s|GENRE=f|CAS=r
om	on	PROind	NOMB.=s|GENRE=n|CAS=n
lor	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=i
fait	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
,	,	PONfbl	MORPH=empty
Garson	garçon	NOMcom	NOMB.=p|GENRE=m|CAS=n
et	et	CONcoo	MORPH=empty
escuier	escuier2	NOMcom	NOMB.=p|GENRE=m|CAS=n
forfait	forfaire	VERppe	NOMB.=p|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
Et	et	CONcoo	MORPH=empty
teil	tel	PROind	NOMB.=p|GENRE=m|CAS=n
qui	qui	PROrel	NOMB.=p|GENRE=m|CAS=n
ne	ne1	ADVneg	MORPH=empty
valent	valoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
deux	deus	DETcar	NOMB.=p|GENRE=f|CAS=r
ciennes	chiene	NOMcom	NOMB.=p|GENRE=f|CAS=r
.	.	PONfrt	MORPH=empty
Por	por2	PRE	MORPH=empty
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r
le	il	PROper	PERS.=3|NOMB.=s|GENRE=n|CAS=r
di	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
,	,	PONfbl	MORPH=empty
qu'	que2	PROrel	NOMB.=s|GENRE=n|CAS=n
à	a3	PRE	MORPH=empty
Aviceinnes	Vincennes	NOMpro	NOMB.=s|GENRE=x|CAS=r
Avint	avenir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
,	,	PONfbl	MORPH=empty
n'	ne1	ADVneg	MORPH=empty
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
pas	pas	ADVneg	MORPH=empty
.I.	un	DETcar	NOMB.=s|GENRE=m|CAS=r
an	an	NOMcom	NOMB.=s|GENRE=m|CAS=r
entier	entier	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
,	,	PONfbl	MORPH=empty
A	a3	PRE	MORPH=empty
Guillaume	Guilaume	NOMpro	NOMB.=s|GENRE=m|CAS=r
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
Penetier	panetier	NOMcom	NOMB.=s|GENRE=m|CAS=r
.	.	PONfrt	MORPH=empty
Cil	cel	DETdem	NOMB.=s|GENRE=m|CAS=n
Guillaumes	Guillaume	NOMpro	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
dont	dont	PROrel	NOMB.=x|GENRE=x|CAS=x
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=i
conte	conter	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
,	,	PONfbl	MORPH=empty
Qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
à	a3	PRE	MORPH=empty
monseigneur	monseignor	NOMcom	NOMB.=s|GENRE=m|CAS=r
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
conte	conte1	NOMcom	NOMB.=s|GENRE=m|CAS=r
De	de	PRE	MORPH=empty
Poitiers	Poitiers	NOMpro	NOMB.=s|GENRE=x|CAS=r
,	,	PONfbl	MORPH=empty
chassoit	chacier	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
,	,	PONfbl	MORPH=empty
l'	le	DETdef	NOMB.=s|GENRE=m|CAS=r
autre	autre	ADJind	NOMB.=s|GENRE=m|CAS=r
jour	jor	NOMcom	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
.I.	un	DETndf	NOMB.=s|GENRE=m|CAS=r
lievre	lievre	NOMcom	NOMB.=s|GENRE=m|CAS=r
qu'	que4	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
ert	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
à	a3	PRE	MORPH=empty
sejour	sejor	NOMcom	NOMB.=s|GENRE=m|CAS=r
.	.	PONfrt	MORPH=empty
Li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
lievres	lievre	NOMcom	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
les	le	DETdef	NOMB.=p|GENRE=m|CAS=r
chiens	chien	NOMcom	NOMB.=p|GENRE=m|CAS=r
douta	doter2	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
,	,	PONfbl	MORPH=empty
Mout	mout	ADVgen	DEGRE=-
durement	durement2	ADVgen	DEGRE=p
se	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
desrouta	desroter	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
;	;	PONfbl	MORPH=empty
Asseiz	assez	ADVgen	DEGRE=-
foï	fuir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
et	et	CONcoo	MORPH=empty
longuement	longement2	ADVgen	DEGRE=p
,	,	PONfbl	MORPH=empty
Et	et	CONcoo	MORPH=empty
cil	cel	PROdem	NOMB.=s|GENRE=m|CAS=n
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
chassa	chacier	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
durement	durement2	ADVgen	DEGRE=p
;	;	PONfbl	MORPH=empty
Asseiz	assez	ADVgen	DEGRE=-
corut	corir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
,	,	PONfbl	MORPH=empty
asseiz	assez	ADVgen	DEGRE=-
ala	aler	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
,	,	PONfbl	MORPH=empty
Asseiz	assez	ADVgen	DEGRE=-
guenchi	guenchir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
et	et	CONcoo	MORPH=empty
sà	ça	ADVgen	DEGRE=-
et	et	CONcoo	MORPH=empty
là	là	ADVgen	DEGRE=-
;	;	PONfbl	MORPH=empty
Mais	mais1	CONcoo	MORPH=empty
en	en1	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
fin	fin1	NOMcom	NOMB.=s|GENRE=f|CAS=r
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=i
di	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
ge	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
bien	bien1	ADVgen	DEGRE=p
Qu'	que4	CONsub	MORPH=empty
à	a3	PRE	MORPH=empty
force	force2	NOMcom	NOMB.=s|GENRE=f|CAS=r
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
prirent	prendre	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
li	le	DETdef	NOMB.=p|GENRE=m|CAS=n
chien	chien	NOMcom	NOMB.=p|GENRE=m|CAS=n
.	.	PONfrt	MORPH=empty
Pris	prendre	VERppe	NOMB.=s|GENRE=m|CAS=n
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
sire	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n
Coars	cöart	NOMpro	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
lievres	lievre	NOMcom	NOMB.=s|GENRE=m|CAS=n
;	;	PONfbl	MORPH=empty
Mais	mais1	CONcoo	MORPH=empty
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
roncins	roncin	NOMcom	NOMB.=s|GENRE=m|CAS=n
en	en2	PROadv	MORPH=empty
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
les	le	DETdef	NOMB.=p|GENRE=f|CAS=r
fievres	fievre	NOMcom	NOMB.=p|GENRE=f|CAS=r
,	,	PONfbl	MORPH=empty
Et	et	CONcoo	MORPH=empty
sachiez	savoir	VERcjg	MODE=imp|PERS.=2|NOMB.=p
que	que4	CONsub	MORPH=empty
mais	mais1	ADVgen	DEGRE=-
ne	ne1	ADVneg	MORPH=empty
les	il	PROper	PERS.=3|NOMB.=p|GENRE=f|CAS=r
tremble	trembler1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
;	;	PONfbl	MORPH=empty
Escorchiez	escorchier	VERppe	NOMB.=s|GENRE=m|CAS=n
en	en2	PROadv	MORPH=empty
