form	lemma	POS	morph
Mais	mais1	CONcoo	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
les	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
avoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
envoiéz	envoiier	VERppe	NOMB.=p|GENRE=m|CAS=r
pour	por2	PRE	MORPH=empty
savoir	savoir	VERinf	NOMB.=p|GENRE=m|CAS=i
s’	se	CONsub	MORPH=empty
il	il	PROimp	PERS.=3|NOMB.=s|GENRE=m|CAS=n
estoit	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
heure	ore3	NOMcom	NOMB.=s|GENRE=f|CAS=r
.	.	PONfrt	MORPH=empty
Aymery	Henri	NOMpro	NOMB.=s|GENRE=m|CAS=n
dist	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
:	:	PONfbl	MORPH=empty
«	«	PONfbl	MORPH=empty
Oil	öil	ADVgen	DEGRE=-
,	,	PONfbl	MORPH=empty
faittes	faire	VERcjg	MODE=imp|PERS.=2|NOMB.=p
le	il	PROper	NOMB.=s|GENRE=m|CAS=r
traire	traire	VERinf	NOMB.=x|GENRE=x|CAS=x
avant	avant	ADVgen	DEGRE=-
et	et	CONcoo	MORPH=empty
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
lui	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
tendray	tenir1	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
convenant	covenant	NOMcom	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
mais	mais1	CONcoo	MORPH=empty
qu’	que4	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
tiengne	tenir1	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
mien	mien	PROpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r
.	.	PONfrt	MORPH=empty
»	»	PONfbl	MORPH=empty
Les	le	DETdef	NOMB.=p|GENRE=m|CAS=n
escuiers	escuier2	NOMcom	NOMB.=p|GENRE=m|CAS=n
retournerent	retorner	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
et	et	CONcoo	MORPH=empty
distrent	dire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r
qu’	que2	PROrel	NOMB.=s|GENRE=n|CAS=r
ilz	il	PROper	NOMB.=p|GENRE=m|CAS=n
avoient	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
veü	vëoir	VERppe	NOMB.=s|GENRE=m|CAS=r
et	et	CONcoo	MORPH=empty
oy	öir	VERppe	NOMB.=s|GENRE=m|CAS=r
.	.	PONfrt	MORPH=empty
Adonc	adonc	ADVgen	DEGRE=-
se	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
tray	traire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
avant	avant	ADVgen	DEGRE=-
monseigneur	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n
Geffroy	Gefrei	NOMpro	NOMB.=s|GENRE=m|CAS=n
de	de	PRE	MORPH=empty
Chargny	charnier1	NOMpro	PERS.=3|NOMB.=s|GENRE=n|CAS=n
et	et	CONcoo	MORPH=empty
toutes	tot	DETind	NOMB.=p|GENRE=f|CAS=n
ses	son4	DETpos	PERS.=3|NOMB.=p|GENRE=f|CAS=n
gens	gent1	NOMcom	NOMB.=p|GENRE=f|CAS=n
et	et	CONcoo	MORPH=empty
passerent	passer1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
oultre	outre1	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
riviere	riviere	NOMcom	NOMB.=s|GENRE=f|CAS=r
et	et	CONcoo	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
pont	pont	NOMcom	NOMB.=s|GENRE=m|CAS=r
de	de	PRE	MORPH=empty
Nulais	nalis	NOMpro	NOMB.=s|GENRE=m|CAS=r
et	et	CONcoo	MORPH=empty
approuchierent	aprochier	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
Calais	chal	NOMpro	NOMB.=p|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
envoia	envoiier	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
devant	devant	ADVgen	DEGRE=-
XII	doze	PROcar	NOMB.=p|GENRE=n|CAS=r
de	de	PRE	MORPH=empty
ses	son4	DETpos	PERS.=3|NOMB.=p|GENRE=m|CAS=r
chevaliers	chevalier	NOMcom	NOMB.=p|GENRE=m|CAS=r
et	et	CONcoo	MORPH=empty
cent	cent	DETcar	NOMB.=p|GENRE=m|CAS=r
armeures	armëure	NOMcom	NOMB.=p|GENRE=f|CAS=r
de	de	PRE	MORPH=empty
fer	fer	NOMcom	NOMB.=s|GENRE=m|CAS=r
pour	por2	PRE	MORPH=empty
prendre	prendre	VERinf	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
saisine	saisine	NOMcom	NOMB.=s|GENRE=f|CAS=r
du	de+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
chastel	chastel	NOMcom	NOMB.=s|GENRE=m|CAS=r
.	.	PONfrt	MORPH=empty
Car	car	CONcoo	MORPH=empty
bien	bien1	ADVgen	DEGRE=p
lui	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
sembloit	sembler	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
que	que2	CONsub	MORPH=empty
s’	se	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
avoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
chastel	chastel	NOMcom	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
seroit	estre1	VERcjg	MODE=con|PERS.=3|NOMB.=s
sire	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n
de	de	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
ville	vile	NOMcom	NOMB.=s|GENRE=f|CAS=r
,	,	PONfbl	MORPH=empty
parmi	parmi	PRE	MORPH=empty
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r
qu’	que2	PROrel	NOMB.=s|GENRE=n
il	il	PROimp	PERS.=3|NOMB.=s|GENRE=m|CAS=n
estoit	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
asséz	assez	ADVgen	DEGRE=-
fort	fort	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
de	de	PRE	MORPH=empty
gens	gent1	NOMcom	NOMB.=p|GENRE=f|CAS=r
,	,	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
encores	encore	ADVgen	DEGRE=-
sur	sor2	PRE	MORPH=empty
ung	un	DETcar	NOMB.=s|GENRE=m|CAS=r
jour	jor	NOMcom	NOMB.=s|GENRE=m|CAS=r
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
en	en2	PROadv	MORPH=empty
aroit	avoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
asséz	assez	ADVgen	DEGRE=-
,	,	PONfbl	MORPH=empty
s’	se	CONsub	MORPH=empty
il	il	PROimp	PERS.=3|NOMB.=s|GENRE=m|CAS=n
en	en2	PROadv	MORPH=empty
estoit	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
besoing	besoing	NOMcom	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
fist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
delivrer	delivrer	VERinf	MORPH=empty
a	a3	PRE	MORPH=empty
monseigneur	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=r
Odart	adort	NOMpro	NOMB.=s|GENRE=m|CAS=r
de	de	PRE	MORPH=empty
Renti	rente	NOMpro	NOMB.=s|GENRE=n|CAS=r
,	,	PONfbl	MORPH=empty
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
estoit	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
en	en1	PRE	MORPH=empty
celle	cel	PROdem	NOMB.=s|GENRE=f|CAS=r
chevauchee	chevaucherez	NOMcom	NOMB.=s|GENRE=f|CAS=r
,	,	PONfbl	MORPH=empty
XXM	vint+mil1	DETcar	NOMB.=p|GENRE=n|CAS=r|DEGRE=p
escus	escu	NOMcom	NOMB.=p|GENRE=m|CAS=n
pour	por2	PRE	MORPH=empty
paier	paiier	VERinf	MORPH=empty
Aymery	Henri	NOMpro	NOMB.=s|GENRE=m|CAS=r
.	.	PONfrt	MORPH=empty
Et	et	CONcoo	MORPH=empty
demoura	demorer	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
avecques	avuec	PRE	MORPH=empty
ses	son4	DETpos	PERS.=3|NOMB.=p|GENRE=m|CAS=r
gens	gent1	NOMcom	NOMB.=p|GENRE=m|CAS=r
tout	tot	ADVgen	DEGRE=-
quoy	coi2	ADJind	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
le	il	DETdef	PERS.=3|NOMB.=s|GENRE=m|CAS=n
dit	dit	ADJqua.NOMcom	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
monseigneur	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n
Geffroy	Gefrei	NOMpro	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r
banniere	baniere	NOMcom	NOMB.=s|GENRE=f|CAS=r
devant	devant	PRE	MORPH=empty
lui	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
sur	sor2	PRE	MORPH=empty
les	le	DETdef	NOMB.=p|GENRE=m|CAS=r
champs	champ	NOMcom	NOMB.=p|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
estoit	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
entente	entente	NOMcom	NOMB.=s|GENRE=f|CAS=r
que	que4	CONsub	MORPH=empty
par	par	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
porte	porte1	NOMcom	NOMB.=s|GENRE=f|CAS=r
de	de	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
ville	vile	NOMcom	NOMB.=s|GENRE=f|CAS=r
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
entreroit	entrer	VERcjg	MODE=con|PERS.=3|NOMB.=s
a	a3	PRE	MORPH=empty
Calais	chal	NOMpro	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
autrement	autrement	ADVgen	DEGRE=-
n’	ne1	ADVneg	MORPH=empty
y	i2	PROadv	MORPH=empty
vouloit	voloir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
