form	lemma	POS	morph
Li	le	DETdef	MORPH=empty
vilains	vilain	NOMcom	MORPH=empty
dit	dire	VERcjg	MORPH=empty
an	en1	PRE	MORPH=empty
son	son4	DETpos	MORPH=empty
respit	respit	NOMcom	MORPH=empty
que	que4	CONsub	MORPH=empty
tel	tel	DETind	MORPH=empty
chose	chose	NOMcom	MORPH=empty
a	avoir	VERcjg	MORPH=empty
l'	le	DETdef	MORPH=empty
an	on	PROind	MORPH=empty
an	en1	PRE	MORPH=empty
despit	despit	NOMcom	MORPH=empty
qui	qui	PROrel	MORPH=empty
mout	mout	ADVgen	MORPH=empty
valt	valoir	VERcjg	MORPH=empty
mialz	mieus	ADVgen	MORPH=empty
que	que1	CONsub	MORPH=empty
l'	le	DETdef	MORPH=empty
an	on	PROind	MORPH=empty
ne	ne1	ADVneg	MORPH=empty
cuide	cuidier1	VERcjg	MORPH=empty
;	;	PONfbl	MORPH=empty
por	por2	PRE	MORPH=empty
ce	ce1	PROdem	MORPH=empty
fet	faire	VERcjg	MORPH=empty
bien	bien1	ADVgen	MORPH=empty
qui	qui	PROrel	MORPH=empty
son	son4	DETpos	MORPH=empty
estuide	estuide	NOMcom	MORPH=empty
atorne	atorner	VERcjg	MORPH=empty
a	a3	PRE	MORPH=empty
bien	bien2	NOMcom	MORPH=empty
,	,	PONfbl	MORPH=empty
quel	quel1	DETrel	MORPH=empty
que	que4	CONsub	MORPH=empty
il	il	PROper	MORPH=empty
l'	il	PROper	MORPH=empty
ait	avoir	VERcjg	MORPH=empty
,	,	PONfbl	MORPH=empty
car	car	CONcoo	MORPH=empty
qui	qui	PROrel	MORPH=empty
son	son4	DETpos	MORPH=empty
estuide	estuide	NOMcom	MORPH=empty
antrelait	entrelaiier	VERcjg	MORPH=empty
,	,	PONfbl	MORPH=empty
tost	tost1	ADVgen	MORPH=empty
i	i2	PROadv	MORPH=empty
puet	pöoir	VERcjg	MORPH=empty
tel	tel	DETind	MORPH=empty
chose	chose	NOMcom	MORPH=empty
teisir	taire	VERinf	MORPH=empty
qui	qui	PROrel	MORPH=empty
mout	mout	ADVgen	MORPH=empty
vandroit	venir	VERcjg	MORPH=empty
puis	puis	ADVgen	MORPH=empty
a	a3	PRE	MORPH=empty
pleisir	plaisir	NOMcom	MORPH=empty
.	.	PONfrt	MORPH=empty
Por	por2	PRE	MORPH=empty
ce	ce1	PROdem	MORPH=empty
dist	dire	VERcjg	MORPH=empty
Crestiens	Crestiien	NOMpro	MORPH=empty
de	de	PRE	MORPH=empty
Troies	Troies	NOMpro	MORPH=empty
que	que4	CONsub	MORPH=empty
reisons	raison	NOMcom	MORPH=empty
est	estre1	VERcjg	MORPH=empty
que	que4	CONsub	MORPH=empty
tote	tot	DETind	MORPH=empty
voies	voie	NOMcom	MORPH=empty
doit	devoir	VERcjg	MORPH=empty
chascuns	chascun	PROind	MORPH=empty
panser	penser	VERinf	MORPH=empty
et	et	CONcoo	MORPH=empty
