form	lemma	POS	morph
Qui	qui	PROrel	MORPH=empty
petit	petit	ADJqua	MORPH=empty
seme	semer1	VERcjg	MORPH=empty
petit	petit	ADJqua	MORPH=empty
quialt	coillir	VERcjg	MORPH=empty
,	,	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
qui	qui	PROrel	MORPH=empty
auques	auques	ADVgen	MORPH=empty
recoillir	recoillir	VERinf	MORPH=empty
vialt	voloir	VERcjg	MORPH=empty
an	en1	PRE	MORPH=empty
tel	tel	DETind	MORPH=empty
leu	lieu	NOMcom	MORPH=empty
sa	son4	DETpos	MORPH=empty
semance	semence	NOMcom	MORPH=empty
espande	espandre	VERcjg	MORPH=empty
que	que4	CONsub	MORPH=empty
fruit	fruit	NOMcom	MORPH=empty
a	a3	PRE	MORPH=empty
cent	cent	DETcar	MORPH=empty
dobles	doble	NOMcom	MORPH=empty
li	il	PROper	MORPH=empty
rande	rendre	VERcjg	MORPH=empty
;	;	PONfbl	MORPH=empty
car	car	CONcoo	MORPH=empty
an	en1	PRE	MORPH=empty
terre	terre	NOMcom	MORPH=empty
qui	qui	PROrel	MORPH=empty
rien	rien	PROind	MORPH=empty
ne	ne1	ADVneg	MORPH=empty
vaut	valoir	VERcjg	MORPH=empty
,	,	PONfbl	MORPH=empty
bone	bon	ADJqua	MORPH=empty
semance	semence	NOMcom	MORPH=empty
i	i2	PROadv	MORPH=empty
seche	sechier	VERcjg	MORPH=empty
et	et	CONcoo	MORPH=empty
faut	falir	VERcjg	MORPH=empty
.	.	PONfrt	MORPH=empty
Crestiens	Crestiien	NOMpro	MORPH=empty
seme	semer1	VERcjg	MORPH=empty
et	et	CONcoo	MORPH=empty
fet	faire	VERcjg	MORPH=empty
semance	semence	NOMcom	MORPH=empty
d'	de	PRE	MORPH=empty
un	un	DETndf	MORPH=empty
romans	romanz	NOMcom	MORPH=empty
que	que2	PROrel	MORPH=empty
il	il	PROper	MORPH=empty
ancomance	encomencier	VERcjg	MORPH=empty
,	,	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
si	si	ADVgen	MORPH=empty
le	il	PROper	MORPH=empty
seme	semer1	VERcjg	MORPH=empty
an	en1	PRE	MORPH=empty
si	si	ADVgen	MORPH=empty
bon	bon	ADJqua	MORPH=empty
leu	lieu	NOMcom	MORPH=empty
qu'	que4	CONsub	MORPH=empty
il	il	PROper	MORPH=empty
ne	ne1	ADVneg	MORPH=empty
puet	pöoir	VERcjg	MORPH=empty
estre	estre1	VERinf	MORPH=empty
sanz	sans	PRE	MORPH=empty
grant	grant	ADJqua	MORPH=empty
preu	pro	NOMcom	MORPH=empty
,	,	PONfbl	MORPH=empty
qu'	que4	CONcoo	MORPH=empty
il	il	PROper	MORPH=empty
le	il	PROper	MORPH=empty
fet	faire	VERcjg	MORPH=empty
por	por2	PRE	MORPH=empty
le	le	DETdef	MORPH=empty
plus	plus	ADVgen	MORPH=empty
prodome	pro	ADJqua	MORPH=empty
qui	qui	PROrel	MORPH=empty
soit	estre1	VERcjg	MORPH=empty
an	en1	PRE	MORPH=empty
l'	le	DETdef	MORPH=empty
empire	empire	NOMcom	MORPH=empty
de	de	PRE	MORPH=empty
Rome	Rome	NOMpro	MORPH=empty
.	.	PONfrt	MORPH=empty
C'	ce1	PROdem	MORPH=empty
est	estre1	VERcjg	MORPH=empty
li	le	DETdef	MORPH=empty
cuens	conte1	NOMcom	MORPH=empty
Phelipes	Phelipes	NOMpro	MORPH=empty
de	de	PRE	MORPH=empty
