form	lemma	POS	morph
Puis	puis	ADVgen	MORPH=empty
que	que4	CONsub	MORPH=empty
ma	mon1	DETpos	MORPH=empty
dame	dame	NOMcom	MORPH=empty
de	de	PRE	MORPH=empty
Chanpaigne	Chanpaingne	NOMpro	MORPH=empty
Vialt	voloir	VERcjg	MORPH=empty
que	que4	CONsub	MORPH=empty
romans	romanz	NOMcom	MORPH=empty
a	a3	PRE	MORPH=empty
feire	faire	VERinf	MORPH=empty
anpraigne	emprendre	VERcjg	MORPH=empty
,	,	PONfbl	MORPH=empty
Je	je	PROper	MORPH=empty
l'	il	PROper	MORPH=empty
anprendrai	emprendre	VERcjg	MORPH=empty
mout	mout	ADVgen	MORPH=empty
volentiers	volentiers	ADVgen	MORPH=empty
Come	come1	CONsub	MORPH=empty
cil	cel	PROdem	MORPH=empty
qui	qui	PROrel	MORPH=empty
est	estre1	VERcjg	MORPH=empty
suens	suen	ADJpos	MORPH=empty
antiers	entier	ADJqua	MORPH=empty
De	de	PRE	MORPH=empty
quanqu'	cantque	PROrel	MORPH=empty
il	il	PROper	MORPH=empty
puet	pöoir	VERcjg	MORPH=empty
el	en1+le	PRE.DETdef	MORPH=empty
monde	monde1	NOMcom	MORPH=empty
feire	faire	VERinf	MORPH=empty
Sanz	sans	PRE	MORPH=empty
rien	rien	PROind	MORPH=empty
de	de	PRE	MORPH=empty
losange	losenge2	NOMcom	MORPH=empty
avant	avant	ADVgen	MORPH=empty
treire	traire	VERinf	MORPH=empty
.	.	PONfrt	MORPH=empty
Mes	mais1	CONcoo	MORPH=empty
tex	tel	PROind	MORPH=empty
s'	soi1	PROper	MORPH=empty
an	en2	PROadv	MORPH=empty
poïst	pöoir	VERcjg	MORPH=empty
antremetre	entremetre	VERinf	MORPH=empty
Qui	qui	PROrel	MORPH=empty
li	il	PROper	MORPH=empty
volsist	voloir	VERcjg	MORPH=empty
losenge	losenge2	NOMcom	MORPH=empty
metre	metre2	VERinf	MORPH=empty
,	,	PONfbl	MORPH=empty
Si	si	ADVgen	MORPH=empty
deïst	dire	VERcjg	MORPH=empty
,	,	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
jel	je+il	PROper.PROper	MORPH=empty
tesmoignasse	tesmoignier	VERcjg	MORPH=empty
,	,	PONfbl	MORPH=empty
Que	que4	CONsub	MORPH=empty
ce	ce1	PROdem	MORPH=empty
est	estre1	VERcjg	MORPH=empty
la	le	DETdef	MORPH=empty
dame	dame	NOMcom	MORPH=empty
qui	qui	PROrel	MORPH=empty
passe	passer1	VERcjg	MORPH=empty
Totes	tot	DETind	MORPH=empty
celes	cel	PROdem	MORPH=empty
qui	qui	PROrel	MORPH=empty
sont	estre1	VERcjg	MORPH=empty
vivanz	vivre1	VERppa	MORPH=empty
,	,	PONfbl	MORPH=empty
Si	si	ADVgen	MORPH=empty
con	come1	CONsub	MORPH=empty
li	le	DETdef	MORPH=empty
funs	fun	NOMcom	MORPH=empty
passe	passer1	VERcjg	MORPH=empty
les	le	DETdef	MORPH=empty
vanz	vent	NOMcom	MORPH=empty
Qui	qui	PROrel	MORPH=empty
vante	venter	VERcjg	MORPH=empty
en	en1	PRE	MORPH=empty
mai	mai	NOMcom	MORPH=empty
ou	o3	CONcoo	MORPH=empty
en	en1	PRE	MORPH=empty
avril	avril	NOMcom	MORPH=empty
.	.	PONfrt	MORPH=empty
Par	par	PRE	MORPH=empty
foi	foi	NOMcom	MORPH=empty
,	,	PONfbl	MORPH=empty
je	je	PROper	MORPH=empty
ne	ne1	ADVneg	MORPH=empty
sui	estre1	VERcjg	MORPH=empty
mie	mie	ADVneg	MORPH=empty
cil	cel	PROdem	MORPH=empty
