form	lemma	POS	morph
Cil	cel	PROdem	MORPH=empty
qui	qui	PROrel	MORPH=empty
fist	faire	VERcjg	MORPH=empty
d'	de	PRE	MORPH=empty
Erec	Erec	NOMpro	MORPH=empty
et	et	CONcoo	MORPH=empty
d'	de	PRE	MORPH=empty
Enide	Enide	NOMpro	MORPH=empty
,	,	PONfbl	MORPH=empty
Et	et	CONcoo	MORPH=empty
les	le	DETdef	MORPH=empty
comandemanz	comandement	NOMcom	MORPH=empty
d'	de	PRE	MORPH=empty
Ovide	Ovide	NOMpro	MORPH=empty
Et	et	CONcoo	MORPH=empty
l'	le	DETdef	MORPH=empty
art	art	NOMcom	MORPH=empty
d'	de	PRE	MORPH=empty
amors	amor	NOMcom	MORPH=empty
an	en1	PRE	MORPH=empty
romans	romanz	NOMcom	MORPH=empty
mist	metre2	VERcjg	MORPH=empty
,	,	PONfbl	MORPH=empty
Et	et	CONcoo	MORPH=empty
le	le	DETdef	MORPH=empty
mors	mors2	NOMcom	MORPH=empty
de	de	PRE	MORPH=empty
l'	le	DETdef	MORPH=empty
espaule	espaule	NOMcom	MORPH=empty
fist	faire	VERcjg	MORPH=empty
,	,	PONfbl	MORPH=empty
Del	de+le	PRE.DETdef	MORPH=empty
roi	roi2	NOMcom	MORPH=empty
Marc	Marc	NOMpro	MORPH=empty
et	et	CONcoo	MORPH=empty
d'	de	PRE	MORPH=empty
Ysalt	Iseut	NOMpro	MORPH=empty
la	le	DETdef	MORPH=empty
blonde	blont	ADJqua	MORPH=empty
,	,	PONfbl	MORPH=empty
Et	et	CONcoo	MORPH=empty
de	de	PRE	MORPH=empty
la	le	DETdef	MORPH=empty
hupe	hupe	NOMcom	MORPH=empty
et	et	CONcoo	MORPH=empty
de	de	PRE	MORPH=empty
l'	le	DETdef	MORPH=empty
aronde	aronde	NOMcom	MORPH=empty
Et	et	CONcoo	MORPH=empty
del	de+le	PRE.DETdef	MORPH=empty
rossignol	rosseignol	NOMcom	MORPH=empty
la	le	DETdef	MORPH=empty
muance	müance	NOMcom	MORPH=empty
,	,	PONfbl	MORPH=empty
.I.	un	DETndf	MORPH=empty
novel	novel	ADJqua	MORPH=empty
conte	conte2	NOMcom	MORPH=empty
rancomance	rencomencier	VERcjg	MORPH=empty
D'	de	PRE	MORPH=empty
un	un	DETndf	MORPH=empty
vaslet	vaslet	NOMcom	MORPH=empty
qui	qui	PROrel	MORPH=empty
an	en1	PRE	MORPH=empty
Grece	Grece	NOMpro	MORPH=empty
fu	estre1	VERcjg	MORPH=empty
Del	de+le	PRE.DETdef	MORPH=empty
linage	lignage	NOMcom	MORPH=empty
le	le	DETdef	MORPH=empty
roi	roi2	NOMcom	MORPH=empty
Artu	Artu	NOMpro	MORPH=empty
.	.	PONfrt	MORPH=empty
Mes	mais1	CONcoo	MORPH=empty
ainz	ainz	ADVgen	MORPH=empty
que	que4	CONsub	MORPH=empty
de	de	PRE	MORPH=empty
lui	il	PROper	MORPH=empty
rien	rien	PROind	MORPH=empty
vos	vos	PROper	MORPH=empty
die	dire	VERcjg	MORPH=empty
,	,	PONfbl	MORPH=empty
Orroiz	öir	VERcjg	MORPH=empty
de	de	PRE	MORPH=empty
son	son4	DETpos	MORPH=empty
pere	pere1	NOMcom	MORPH=empty
la	le	DETdef	MORPH=empty
vie	vie1	NOMcom	MORPH=empty
,	,	PONfbl	MORPH=empty
Dom	dont	PROrel	MORPH=empty
il	il	PROper	MORPH=empty
fu	estre1	VERcjg	MORPH=empty
et	et	CONcoo	MORPH=empty
de	de	PRE	MORPH=empty
quel	quel1	DETrel	MORPH=empty
linage	lignage	NOMcom	MORPH=empty
.	.	PONfrt	MORPH=empty
Tant	tant	ADVgen	MORPH=empty
fu	estre1	VERcjg	MORPH=empty
preuz	pro	ADJqua	MORPH=empty
et	et	CONcoo	MORPH=empty
de	de	PRE	MORPH=empty
fier	fier	ADJqua	MORPH=empty
corage	corage	NOMcom	MORPH=empty
Que	que4	CONsub	MORPH=empty
por	por2	PRE	MORPH=empty
pris	pris1	NOMcom	MORPH=empty
et	et	CONcoo	MORPH=empty
por	por2	PRE	MORPH=empty
los	los1	NOMcom	MORPH=empty
conquerre	conquerre	VERinf	MORPH=empty
Ala	aler	VERcjg	MORPH=empty
de	de	PRE	MORPH=empty
Grece	Grece	NOMpro	MORPH=empty
an	en1	PRE	MORPH=empty
Engleterre	Engleterre	NOMpro	MORPH=empty
,	,	PONfbl	MORPH=empty
Qui	qui	PROrel	MORPH=empty
lors	lors	ADVgen	MORPH=empty
estoit	estre1	VERcjg	MORPH=empty
Bretaigne	Bretaigne	NOMpro	MORPH=empty
dite	dire	VERppe	MORPH=empty
.	.	PONfrt	MORPH=empty
Ceste	cest	DETdem	MORPH=empty
estoire	estoire1	NOMcom	MORPH=empty
trovons	trover	VERcjg	MORPH=empty
escrite	escrire	VERppe	MORPH=empty
,	,	PONfbl	MORPH=empty
Que	que2	PROrel	MORPH=empty
conter	conter	VERinf	MORPH=empty
vos	vos	PROper	MORPH=empty
vuel	voloir	VERcjg	MORPH=empty
et	et	CONcoo	MORPH=empty
retraire	retraire	VERinf	MORPH=empty
,	,	PONfbl	MORPH=empty
En	en1	PRE	MORPH=empty
.i.	un	PROind	MORPH=empty
des	de+le	PRE.DETdef	MORPH=empty
livres	livre2	NOMcom	MORPH=empty
de	de	PRE	MORPH=empty
l'	le	DETdef	MORPH=empty
aumaire	armaire	NOMcom	MORPH=empty
Monseignor	seignor	NOMcom	MORPH=empty
saint	saint	ADJqua	MORPH=empty
Pere	Pierre	NOMpro	MORPH=empty
a	a3	PRE	MORPH=empty
Biauvez	Biauvez	NOMpro	MORPH=empty
;	;	PONfbl	MORPH=empty
De	de	PRE	MORPH=empty
la	là	ADVgen	MORPH=empty
fu	estre1	VERcjg	MORPH=empty
li	le	DETdef	MORPH=empty
contes	conte2	NOMcom	MORPH=empty
