form	lemma	POS	morph
Ci	ci	ADVgen	
commence	comencier	VERcjg	
li	le	DETdef	
seconz	secont1	PROord	
livres	livre2	NOMcom	
.	.	PONfrt	
Cist	cest	DETdem	
tytres	titre	NOMcom	
est	estre1	VERcjg	
de	de	PRE	
fere	faire	VERinf	
sa	son4	DETpos	
demande	demande	NOMcom	
et	et	CONcoo	
de	de	PRE	
mostrer	mostrer	VERinf	
par	par	PRE	
quel	quel1	DETrel	
reson	raison	NOMcom	
l'	le	DETdef
en	en3	PROind	
demande	demander	VERcjg	
.	.	PONfrt	
L'	le	DETdef
empereeur	emperëor	NOMcom	
Pius	Pius	NOMpro	
et	et	CONcoo	
Antoines	Antonin	NOMpro	
dient	dire	VERcjg	
à	a3	PRE	
un	un	DETndf	
homme	ome	NOMcom	
qui	qui	PROrel	
demandoit	demander	VERcjg	
à	a3	PRE	
une	un	DETndf	
feme	feme	NOMcom	
deniers	denier	NOMcom	
que	que4	CONsub	
il	il	PROper	
li	il	PROper	
avoit	avoir	VERcjg	
balliez	baillier	VERppe	
en	en1	PRE	
garde	garde	NOMcom	
.	.	PONfrt	
Coment	coment1	ADVint	
proveras	prover	VERcjg	
tu	tu	PROper	
que	que4	CONsub	
li	le	DETdef	
denier	denier	NOMcom	
que	que2	PROrel	
tu	tu	PROper	
as	avoir	VERcjg	
bailliez	baillier	VERppe	
en	en1	PRE	
garde	garde	NOMcom	
te	tu	PROper	
sont	estre1	VERcjg	
deuz	devoir	VERppe	
?	?	PONfrt	
Quer	querre	VERcjg	
ce	ce1	PROdem	
que	que4	CONsub	
tu	tu	PROper	
veuls	voloir	VERcjg	
que	que4	CONsub	
ton	ton4	DETpos	
aversaire	aversaire	NOMcom	
mete	metre2	VERcjg	
avant	avant	ADVgen	
ses	son4	DETpos	
resons	raison	NOMcom	
,	,	PONfbl	
ce	ce1	PROdem	
seut	soloir	VERcjg	
apartenir	apartenir	VERinf	
à	a3	PRE	
l'	le	DETdef
office	ofice	NOMcom	
al	a3+le	PRE.DETdef	
juge	juge	NOMcom	
.	.	PONfrt	
L'	le	DETdef
empereeur	emperëor	NOMcom	
Severins	Severus	NOMpro	
et	et	CONcoo	
Anthonines	Antonin	NOMpro	
dient	dire	VERcjg	
.	.	PONfrt	
Cil	cel	PROdem	
pardevant	pardevant	PRE	
cui	cui	PROrel	
la	le	DETdef	
cause	cause	NOMcom	
est	estre1	VERcjg	
tretiee	traire	VERppe	
commandera	comander	VERcjg	
que	que4	CONsub	
li	le	DETdef	
errement	errement	NOMcom	
et	et	CONcoo	
li	le	DETdef	
commun	comun	ADJqua	
escrit	escrit	NOMcom	
soient	estre1	VERcjg	
regardé	regarder	VERppe	
por	por2	PRE	
fere	faire	VERinf	
foi	foi	NOMcom	
de	de	PRE	
la	le	DETdef	
verité	verité	NOMcom	
.	.	PONfrt	
Cil	cel	DETdem	
meisme	mëisme	ADJind	
empereeur	emperëor	NOMcom	
dient	dire	VERcjg	
.	.	PONfrt	
L'	le	DETdef
action	accion	NOMcom	
qui	qui	PROrel	
est	estre1	VERcjg	
proposee	proposer	VERppe	
demostre	demostrer	VERcjg	
la	le	DETdef	
semblance	semblance	NOMcom	
et	et	CONcoo	
la	le	DETdef	
maniere	maniere	NOMcom	
del	de+le	PRE.DETdef	
plet	plait	NOMcom	
qui	qui	PROrel	
est	estre1	VERcjg	
à	a3	PRE	
venir	venir	VERinf	
.	.	PONfrt	
Et	et	CONcoo	
il	il	PROper	
list	loisir1	VERcjg	
à	a3	PRE	
amender	amender	VERinf	
la	là	ADVgen	
ou	o3	CONcoo	
à	a3	PRE	
müer	müer	VERinf	
,	,	PONfbl	
si	si	ADVgen	
comme	come1	CONsub	
l'	le	DETdef
auctorité	autorité	NOMcom	
del	de+le	PRE.DETdef	
pardurable	pardurable	ADJqua	
establissement	establissement	NOMcom	
l'	il	PROper	\
enseigne	enseignier	VERcjg	
,	,	PONfbl	
ou	o3	CONcoo	
si	si	ADVgen	
comme	come1	CONsub	
la	le	DETdef	
loialté	lëauté	NOMcom	
al	a3+le	PRE.DETdef	
juge	juge	NOMcom	
voit	vëoir	VERcjg	
que	que4	CONsub	
droit	droit	NOMcom	
est	estre1	VERcjg	
.	.	PONfrt	
L'	le	DETdef
empereres	emperëor	NOMcom	
Anthoines	Antonin	NOMpro	
dit	dire	VERcjg	
.	.	PONfrt	
Cil	cel	PROdem	
qui	qui	PROrel	
vuelent	voloir	VERcjg	
acuser	acuser	VERinf	
doivent	devoir	VERcjg	
avoir	avoir	VERinf	
prueves	prueve	NOMcom	
,	,	PONfbl	
quer	car	CONcoo	
droiz	droit	NOMcom	
ne	ne2	CONcoo	
reson	raison	NOMcom	
n'	ne1	ADVneg	
otroie	otroiier	VERcjg	
pas	pas	ADVneg	
que	que4	CONsub	
li	le	DETdef	
demanderres	demandëor	NOMcom	
ait	avoir	VERcjg	
pooir	pöoir	NOMcom	
de	de	PRE	
fere	faire	VERinf	
venir	venir	VERinf	
avant	avant	ADVgen	
ne	ne2	CONcoo	
de	de	PRE	
regarder	regarder	VERinf	
les	le	DETdef	
instrumenz	instrument	NOMcom	
al	a3+le	PRE.DETdef	
defendeeur	defendëor	NOMcom	
.	.	PONfrt	
Et	et	CONcoo	
se	se	CONsub	
cil	cel	PROdem	
qui	qui	PROrel	
demande	demander	VERcjg	
ne	ne1	ADVneg	
puet	pöoir	VERcjg	
prover	prover	VERinf	
,	,	PONfbl	
cil	cel	PROdem	
qui	qui	PROrel	
se	soi1	PROper	
defent	defendre	VERcjg	
gaaigne	gäaignier1	VERcjg	
la	le	DETdef	
querele	querele	NOMcom	
,	,	PONfbl	
ja	ja	ADVgen	
soit	estre1	VERcjg	
ce	ce1	PROdem	
que	que4	CONsub	
il	il	PROper	
ne	ne1	ADVneg	
prueve	prover	VERcjg	
rien	rien	PROind	
.	.	PONfrt	
Li	le	DETdef	
empereres	emperëor	NOMcom	
Alixandres	Alexandre	NOMpro	
dit	dire	VERcjg	
.	.	PONfrt	
Ce	ce1	PROdem	
n'	ne1	ADVneg	
est	estre1	VERcjg	
pas	pas	ADVneg	
novele	novel	ADJqua	
chose	chose	NOMcom	
se	se	CONsub	
cil	cel	PROdem	
à	a3	PRE	
qui	qui	PROrel	
l'	le	DETdef
en	en3	PROind	
demande	demander	VERcjg	
deniers	denier	NOMcom	
veult	voloir	VERcjg	
savoir	savoir	VERinf	
les	le	DETdef	
resons	raison	NOMcom	
por	por2	PRE	
quoi	coi2	PROrel	
l'	le	DETdef
en	en3	PROind	
li	le	PROper	
demande	demander	VERcjg	
,	,	PONfbl	
si	si	ADVgen	
que	que4	CONsub	
verité	verité	NOMcom	
en	en2	PROadv	
puisse	pöoir	VERcjg	
estre	estre1	VERinf	
seue	savoir	VERppe	
.	.	PONfrt	
Cil	cel	DETdem	
meismes	mëisme	ADJind	
empereres	emperëor	NOMcom	
dit	dire	VERcjg	
.	.	PONfrt	
Quant	cant1	CONsub	
l'	le	DETdef
en	en3	PROind	
demande	demander	VERcjg	
à	a3	PRE	
aucun	aucun	PROind	
por	por2	PRE	
soi	soi1	PROper	
et	et	CONcoo	
por	por2	PRE	
autres	autre	PROind	
,	,	PONfbl	
il	il	PROper	
a	avoir	VERcjg	
droit	droit	NOMcom	
se	se	CONsub	
il	il	PROper	
veult	voloir	VERcjg	
savoir	savoir	VERinf	
que	que4	CONsub	
les	le	DETdef	
paies	paie	NOMcom	
qui	qui	PROrel	
ont	avoir	VERcjg	
esté	estre1	VERppe	
fetes	faire	VERppe	
en	en1	PRE	
commun	comun	ADJqua	
soient	estre1	VERcjg	
mostrees	mostrer	VERppe	
,	,	PONfbl	
si	si	ADVgen	
que	que4	CONsub	
l'	le	DETdef
en	en3	PROind	
puisse	pöoir	VERcjg	
savoir	savoir	VERinf	
combien	combien	ADVsub	
il	il	PROper	
en	en2	PROadv	
affiert	aferir	VERcjg	
à	a3	PRE	
sa	son4	DETpos	
part	part1	NOMcom	
.	.	PONfrt	
Cil	cel	DETdem	
meismes	mëisme	ADJind	
empereres	emperëor	NOMcom	
dit	dire	VERcjg	
.	.	PONfrt	
Li	le	DETdef	
procurerres	procurëor	NOMcom	
de	de	PRE	
noz	nostre	DETpos	
choses	chose	NOMcom	
privees	privé1	ADJqua	
commandera	comander	VERcjg	
que	que4	CONsub	
tu	tu	PROper	
aies	avoir	VERcjg	
,	,	PONfbl	
si	si	ADVgen	
comme	come1	CONsub	
costume	costume	NOMcom	
est	estre1	VERcjg	
,	,	PONfbl	
les	le	DETdef	
instrumenz	instrument	NOMcom	
à	a3	PRE	
contrescrire	contrescrire	VERinf	
que	que4	CONsub	
tu	tu	PROper	
diz	dire	VERcjg	
que	que4	CONsub	
sont	estre1	VERcjg	
commun	comun	ADJqua	
à	a3	PRE	
toi	tu	PROper	
et	et	CONcoo	
à	a3	PRE	
nostre	nostre	DETpos	
baillie	baillie	NOMcom	
.	.	PONfrt	
E	et	CONcoo	
se	se	CONsub	
il	il	PROper	
convient	covenir	VERcjg	
aucune	aucun	DETind	
foiz	foiz	NOMcom	
que	que4	CONsub	
aucuns	aucun	PROind	
d'	de	PRE	
els	il	PROper	
soit	estre1	VERcjg	
trez	traire	VERppe	
avant	avant	ADVgen	
par	par	PRE	
devant	devant	PRE	
autre	autre	DETind	
juge	juge	NOMcom	
à	a3	PRE	
fere	faire	VERinf	
certaineté	certaineté	NOMcom	
de	de	PRE	
la	le	DETdef	
demande	demande	NOMcom	
,	,	PONfbl	
et	et	CONcoo	
cil	cel	PROdem	
qui	qui	PROrel	
est	estre1	VERcjg	
semons	semondre	VERppe	
le	il	PROper	
requiert	requerre	VERcjg	
,	,	PONfbl	
li	le	DETdef	
juges	juge	NOMcom	
commandera	comander	VERcjg	
que	que4	CONsub	
il	il	PROper	
soit	estre1	VERcjg	
mis	metre2	VERppe	
avant	avant	ADVgen	
.	.	PONfrt	
Cil	cel	DETdem	
meismes	mëisme	ADJind	
