form	lemma	POS	morph
[REF:CononBethune_01_01_001]	Ref.	OUT	MORPH=empty
Chançon	chançon	NOMcom	NOMB.=s|GENRE=f|CAS=r
legiere	legier2	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
a	a3	PRE	MORPH=empty
entendre	entendre	VERinf	MORPH=empty
[REF:CononBethune_01_01_002]	Ref.	OUT	MORPH=empty
Ferai	faire	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s
,	,	PONfbl	MORPH=empty
car	car	CONcoo	MORPH=empty
bien	bien1	ADVgen	DEGRE=p
m'	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
mestiers	mestier	NOMcom	NOMB.=s|GENRE=m|CAS=n
[REF:CononBethune_01_01_003]	Ref.	OUT	MORPH=empty
Ke	que4	CONsub	MORPH=empty
chascuns	chascun	PROind	NOMB.=s|GENRE=m|CAS=n
le	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=r
puist	pöoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
aprendre	aprendre	VERinf	MORPH=empty
[REF:CononBethune_01_01_004]	Ref.	OUT	MORPH=empty
Et	et	CONcoo	MORPH=empty
c'	que4	CONsub	MORPH=empty
on	on	PROind	NOMB.=s|GENRE=n|CAS=n
le	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=r
chant	chanter	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
volentiers	volentiers	ADVgen	DEGRE=p
;	;	PONfbl	MORPH=empty
[REF:CononBethune_01_01_005]	Ref.	OUT	MORPH=empty
Ne	ne2	CONcoo	MORPH=empty
par	par	PRE	MORPH=empty
autres	autre	DETind	NOMB.=p|GENRE=m|CAS=r
messaigiers	messagier	NOMcom	NOMB.=p|GENRE=m|CAS=r
[REF:CononBethune_01_01_006]	Ref.	OUT	MORPH=empty
N'	ne1	ADVneg	MORPH=empty
iert	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
ja	ja	ADVgen	DEGRE=-
ma	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=f|CAS=n
dolors	dolor	NOMcom	NOMB.=s|GENRE=f|CAS=n
mostree	mostrer	VERppe	NOMB.=s|GENRE=f|CAS=n
[REF:CononBethune_01_01_007]	Ref.	OUT	MORPH=empty
A	a3	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
millor	meillor	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=c
ki	qui	PROrel	NOMB.=s|GENRE=f|CAS=n
soit	estre1	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
née	naistre	VERppe	NOMB.=s|GENRE=f|CAS=n
.	.	PONfrt	MORPH=empty
[REF:CononBethune_01_02_008]	Ref.	OUT	MORPH=empty
Tant	tant	ADVgen	DEGRE=-
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=n
valors	valor	NOMcom	NOMB.=s|GENRE=f|CAS=n
doblee	dobler	VERppe	NOMB.=s|GENRE=f|CAS=n
[REF:CononBethune_01_02_009]	Ref.	OUT	MORPH=empty
C'	que4	CONsub	MORPH=empty
orgeus	orgueil	NOMcom	NOMB.=s|GENRE=m|CAS=n
et	et	CONcoo	MORPH=empty
hardemens	hardement	NOMcom	NOMB.=s|GENRE=m|CAS=n
fiers	fier	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
[REF:CononBethune_01_02_010]	Ref.	OUT	MORPH=empty
Seroit	estre1	VERcjg	MODE=con|PERS.=3|NOMB.=s
,	,	PONfbl	MORPH=empty
se	se	CONsub	MORPH=empty
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
ma	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=f|CAS=r
pensée	pensee	NOMcom	NOMB.=s|GENRE=f|CAS=r
[REF:CononBethune_01_02_011]	Ref.	OUT	MORPH=empty
Li	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=i
descovroie	descovrir	VERcjg	MODE=con|PERS.=1|NOMB.=s
premiers	premier	ADVgen	DEGRE=-
;	;	PONfbl	MORPH=empty
[REF:CononBethune_01_02_012]	Ref.	OUT	MORPH=empty
Mais	mais1	CONcoo	MORPH=empty
besoins	besoing	NOMcom	NOMB.=s|GENRE=m|CAS=n
et	et	CONcoo	MORPH=empty
desiriers	desirrier2	NOMcom	NOMB.=s|GENRE=m|CAS=n
[REF:CononBethune_01_02_013]	Ref.	OUT	MORPH=empty
Et	et	CONcoo	MORPH=empty
çou	ce1	PROdem	NOMB.=s|GENRE=n|CAS=n
c'	que2	PROrel	NOMB.=s|GENRE=n|CAS=r
on	on	PROind	NOMB.=s|GENRE=n|CAS=n
ne	ne1	ADVneg	MORPH=empty
puet	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
atendre	atendre	VERinf	MORPH=empty
[REF:CononBethune_01_02_014]	Ref.	OUT	MORPH=empty
Fait	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
maint	maint	DETind	NOMB.=s|GENRE=m|CAS=r
hardement	hardement	NOMcom	NOMB.=s|GENRE=m|CAS=r
emprendre	emprendre	VERinf	MORPH=empty
.	.	PONfrt	MORPH=empty
[REF:CononBethune_01_03_015]	Ref.	OUT	MORPH=empty
Tant	tant	ADVgen	DEGRE=-
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
celé	celer1	VERppe	NOMB.=s|GENRE=m|CAS=r
mon	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r
martire	martire2	NOMcom	NOMB.=s|GENRE=m|CAS=r
[REF:CononBethune_01_03_016]	Ref.	OUT	MORPH=empty
Tos	tot	DETind	NOMB.=p|GENRE=m|CAS=r
jors	jor	NOMcom	NOMB.=p|GENRE=m|CAS=r
a	a3	PRE	MORPH=empty
tote	tot	DETind	NOMB.=s|GENRE=f|CAS=r
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
gent	gent1	NOMcom	NOMB.=s|GENRE=f|CAS=r
[REF:CononBethune_01_03_017]	Ref.	OUT	MORPH=empty
Ke	que4	CONsub	MORPH=empty
bien	bien1	ADVgen	DEGRE=p
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
devroie	devoir	VERcjg	MODE=con|PERS.=1|NOMB.=s
dire	dire	VERinf	MORPH=empty
[REF:CononBethune_01_03_018]	Ref.	OUT	MORPH=empty
A	a3	PRE	MORPH=empty
ma	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=f|CAS=r
Dame	dame	NOMcom	NOMB.=s|GENRE=f|CAS=r
solement	solement2	ADVgen	DEGRE=-
,	,	PONfbl	MORPH=empty
[REF:CononBethune_01_03_019]	Ref.	OUT	MORPH=empty
K'	que4	CONcoo	MORPH=empty
Amors	amor	NOMpro	NOMB.=s|GENRE=f|CAS=n
ne	ne1	ADVneg	MORPH=empty
li	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=i
dit	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
noient	nïent	PROind	NOMB.=s|GENRE=n|CAS=r
;	;	PONfbl	MORPH=empty
[REF:CononBethune_01_03_020]	Ref.	OUT	MORPH=empty
Ne	ne1	ADVneg	MORPH=empty
por	por2	PRE	MORPH=empty
quant	cant2	PROind	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
s'	se	CONsub	MORPH=empty
ele	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=n
m'	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
oblie	oblïer	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
,	,	PONfbl	MORPH=empty
[REF:CononBethune_01_03_021]	Ref.	OUT	MORPH=empty
Ne	ne1	ADVneg	MORPH=empty
l'	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=r
oublierai	oblïer	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
mie	mie	ADVneg	MORPH=empty
.	.	PONfrt	MORPH=empty
[REF:CononBethune_01_04_022]	Ref.	OUT	MORPH=empty
Por	por2	PRE	MORPH=empty
quant	cant2	PROind	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
se	se	CONsub	MORPH=empty
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
n'	ne1	ADVneg	MORPH=empty
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
aïe	äie	NOMcom	NOMB.=s|GENRE=f|CAS=r
[REF:CononBethune_01_04_023]	Ref.	OUT	MORPH=empty
De	de	PRE	MORPH=empty
li	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=r
et	et	CONcoo	MORPH=empty
retenement	retenement	NOMcom	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
[REF:CononBethune_01_04_024]	Ref.	OUT	MORPH=empty
