form	lemma	POS	morph
Le	le	DETdef	NOMB.=s|GENRE=m|CAS=n
prevost	prevost	NOMcom	NOMB.=s|GENRE=m|CAS=n
adonc	adonc	ADVgen	DEGRE=-
hault	haut	ADVgen	DEGRE=-
parla	parler	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
Et	et	CONcoo	MORPH=empty
dist	dire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
:	:	PONfbl	MORPH=empty
\"	\"	PONfbl	MORPH=empty
Pelerin	pelerin	NOMcom	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
entent	entendre	VERcjg	MODE=imp|PERS.=2|NOMB.=s
ça	ça	ADVgen	DEGRE=-
!	!	PONfrt	MORPH=empty
À	a3	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
court	cort1	NOMcom	NOMB.=s|GENRE=f|CAS=r
as	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=s
eü	avoir	VERppe	NOMB.=s|GENRE=m|CAS=r
amis	ami	NOMcom	NOMB.=p|GENRE=m|CAS=r
Et	et	CONcoo	MORPH=empty
amies	ami	NOMcom	NOMB.=p|GENRE=f|CAS=r
,	,	PONfbl	MORPH=empty
se	ce1	PROdem	NOMB.=s|GENRE=n|CAS=n
m'	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
avis	avis	NOMcom	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
Tex	tel	ADJind	NOMB.=p|GENRE=m|CAS=r
et	et	CONcoo	MORPH=empty
telles	tel	ADJind	NOMB.=p|GENRE=f|CAS=r
que	que2	PROrel	NOMB.=p|GENRE=m|CAS=r
ne	ne1	ADVneg	MORPH=empty
di	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
pas	pas	ADVneg	MORPH=empty
Et	et	CONcoo	MORPH=empty
que	que2	PROrel	NOMB.=p|GENRE=m|CAS=r
ci	ci	ADVgen	DEGRE=-
aprés	après	ADVgen	DEGRE=-
bien	bien1	ADVgen	DEGRE=p
saras	savoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=2|NOMB.=s
.	.	PONfrt	MORPH=empty
De	de	PRE	MORPH=empty
Misericorde	misericorde	NOMpro	NOMB.=s|GENRE=f|CAS=r
