form	lemma	POS	morph
El	en1+le	PRE.DETdef	MORPH=empty
non	nom	NOMcom	MORPH=empty
del	de+le	PRE.DETdef	MORPH=empty
pere	pere	NOMcom	MORPH=empty
et	et	CONcoo	MORPH=empty
del	de+le	PRE.DETdef	MORPH=empty
fil	fil2	NOMcom	MORPH=empty
et	et	CONcoo	MORPH=empty
del	de+le	PRE.DETdef	MORPH=empty
Saint	saint	ADJqua	MORPH=empty
Esperit	esperit	NOMpro	MORPH=empty
Ci	ci	ADVgen	MORPH=empty
conmencent	comencier	VERcjg	MORPH=empty
les	le	DETdef	MORPH=empty
Institutes	Institutes	NOMpro	MORPH=empty
au	a3+le	PRE.DETdef	MORPH=empty
seint	saint	ADJqua	MORPH=empty
empereor	emperëor	NOMcom	MORPH=empty
Justinian	Justinien	NOMpro	MORPH=empty
.	.	PONfrt	MORPH=empty
Prologue	prologue	NOMcom	MORPH=empty
Il	il	PROimp	MORPH=empty
convient	covenir	VERcjg	MORPH=empty
que	que4	CONsub	MORPH=empty
la	le	DETdef	MORPH=empty
majestéz	majesté	NOMcom	MORPH=empty
l'	le	DETdef	MORPH=empty
empereor	emperëor	NOMcom	MORPH=empty
soit	estre1	VERcjg	MORPH=empty
aornee	aorner2	VERppe	MORPH=empty
ne	ne2	CONcoo	MORPH=empty
mie	mie	ADVneg	MORPH=empty
tant	tant	ADVgen	MORPH=empty
solement	solement2	ADVgen	MORPH=empty
d'	de	PRE	MORPH=empty
armes	arme	NOMcom	MORPH=empty
mais	mais1	CONcoo	MORPH=empty
de	de	PRE	MORPH=empty
lois	loi3	NOMcom	MORPH=empty
,	,	PONfbl	MORPH=empty
si	si	ADVgen	MORPH=empty
que	que4	CONsub	MORPH=empty
li	le	DETdef	MORPH=empty
uns	un	PROind	MORPH=empty
et	et	CONcoo	MORPH=empty
li	le	DETdef	MORPH=empty
autres	autre	ADJind	MORPH=empty
tens	tens	NOMcom	MORPH=empty
,	,	PONfbl	MORPH=empty
ce	ce1	PROdem	MORPH=empty
et	et	CONcoo	MORPH=empty
est	estre1	VERcjg	MORPH=empty
cil	cel	PROdem	MORPH=empty
de	de	PRE	MORPH=empty
pés	pais	NOMcom	MORPH=empty
et	et	CONcoo	MORPH=empty
cil	cel	PROdem	MORPH=empty
de	de	PRE	MORPH=empty
guerre	guerre	NOMcom	MORPH=empty
,	,	PONfbl	MORPH=empty
puiz	puis	ADVgen	MORPH=empty
se	se	CONsub	MORPH=empty
estre	estre1	VERinf	MORPH=empty
govrenéz	governer	VERppe	MORPH=empty
par	par	PRE	MORPH=empty
