form	lemma	POS	morph
Nous	nos1	PROper	PERS.=1|NOMB.=p|GENRE=m|CAS=n
auons	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=p
manifestement	manifestement	NOMcom	DEGRE=-
veu	vëoir	VERppe	NOMB.=s|GENRE=m|CAS=r
les	le	DETdef	NOMB.=p|GENRE=m|CAS=r
apostemes	apostume	NOMcom	NOMB.=p|GENRE=m|CAS=r
internes	interne	ADJqua	NOMB.=p|GENRE=m|CAS=r|DEGRE=p
estre	estre1	VERinf	MORPH=empty
dangereux	dangeros	ADJqua	NOMB.=p|GENRE=m|CAS=r|DEGRE=p
en	en1	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
grande	grant	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
mortalité	mortalité	NOMcom	NOMB.=s|GENRE=f|CAS=r
,	,	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
telle	tel	PROind	NOMB.=s|GENRE=f|CAS=r
qu'	que4	CONsub	MORPH=empty
on	on	PROind	NOMB.=s|GENRE=n|CAS=n
n'	ne1	ADVneg	MORPH=empty
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
ouy	oir	VERppe	NOMB.=s|GENRE=m|CAS=r
parler	parler	VERinf	MORPH=empty
de	de	PRE	MORPH=empty
semblable	semblable	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
:	:	PONfbl	MORPH=empty
laquelle	le+quel1	PROrel	NOMB.=s|GENRE=f|CAS=n
apparut	aparoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
en	en1	PRE	MORPH=empty
Auignon	Avignon	NOMpro	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
l'	le	DETdef	NOMB.=s|GENRE=m|CAS=r
an	an	NOMcom	NOMB.=s|GENRE=m|CAS=r
de	de	PRE	MORPH=empty
nostre	nostre	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r
Seigneur	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=r
1348	1348	ADJcar	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
en	en1	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
sixiesme	sisiesme	ADJord	NOMB.=s|GENRE=f|CAS=r
année	anee	NOMcom	NOMB.=s|GENRE=f|CAS=r
du	de+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
Pontificat	pontificat	NOMcom	NOMB.=s|GENRE=m|CAS=r
de	de	PRE	MORPH=empty
Clement	Clement	NOMpro	NOMB.=s|GENRE=m|CAS=r
VI	6	ADJcar	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
au	a3+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
seruice	servise	NOMcom	NOMB.=s|GENRE=m|CAS=r
duquel	de+lequel	PROrel	NOMB.=s|GENRE=m|CAS=r
i'	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
