form	lemma	POS	morph
Artus	Artu	NOMpro	MORPH=empty
,	,	PONfbl	MORPH=empty
li	le	DETdef	MORPH=empty
boens	bon	ADJqua	MORPH=empty
rois	roi2	NOMcom	MORPH=empty
de	de	PRE	MORPH=empty
Bretaingne	Bretaigne	NOMpro	MORPH=empty
,	,	PONfbl	MORPH=empty
La	le	DETdef	MORPH=empty
cui	cui	PROrel	MORPH=empty
proesce	pröece	NOMcom	MORPH=empty
nos	nos1	PROper	MORPH=empty
enseigne	enseignier	VERcjg	MORPH=empty
Que	que4	CONsub	MORPH=empty
nos	nos1	PROper	MORPH=empty
soiens	estre1	VERcjg	MORPH=empty
preu	pro	ADJqua	MORPH=empty
et	et	CONcoo	MORPH=empty
cortois	cortois	ADJqua	MORPH=empty
,	,	PONfbl	MORPH=empty
Tint	tenir1	VERcjg	MORPH=empty
cort	cort1	NOMcom	MORPH=empty
si	si	ADVgen	MORPH=empty
riche	riche	ADJqua	MORPH=empty
come	come1	CONsub	MORPH=empty
rois	roi2	NOMcom	MORPH=empty
A	a3	PRE	MORPH=empty
cele	cel	DETdem	MORPH=empty
feste	feste1	NOMcom	MORPH=empty
qui	qui	PROrel	MORPH=empty
tant	tant	ADVgen	MORPH=empty
coste	coster1	VERcjg	MORPH=empty
,	,	PONfbl	MORPH=empty
Qu'	que4	CONsub	MORPH=empty
an	on	PROind	MORPH=empty
doit	devoir	VERcjg	MORPH=empty
clamer	clamer	VERinf	MORPH=empty
la	le	DETdef	MORPH=empty
Pantecoste	Pentecoste	NOMpro	MORPH=empty
.	.	PONfrt	MORPH=empty
Li	le	DETdef	MORPH=empty
rois	roi2	NOMcom	MORPH=empty
fu	estre1	VERcjg	MORPH=empty
a	a3	PRE	MORPH=empty
Carduel	Carduel	NOMpro	MORPH=empty
en	en1	PRE	MORPH=empty
Gales	Gales	NOMpro	MORPH=empty
;	;	PONfbl	MORPH=empty
Aprés	après	PRE	MORPH=empty
mangier	mangier	VERinf	MORPH=empty
,	,	PONfbl	MORPH=empty
parmi	parmi	PRE	MORPH=empty
ces	ce2	DETdem	MORPH=empty
sales	sale1	NOMcom	MORPH=empty
,	,	PONfbl	MORPH=empty
Cil	cel	DETdem	MORPH=empty
chevalier	chevalier	NOMcom	MORPH=empty
s'	soi1	PROper	MORPH=empty
atropelerent	atropeler	VERcjg	MORPH=empty
La	là	ADVgen	MORPH=empty
ou	où	PROrel	MORPH=empty
dames	dame	NOMcom	MORPH=empty
les	il	PROper	MORPH=empty
apelerent	apeler	VERcjg	MORPH=empty
Ou	o3	CONcoo	MORPH=empty
dameiseles	damoisele	NOMcom	MORPH=empty
ou	o3	CONcoo	MORPH=empty
puceles	pucele	NOMcom	MORPH=empty
.	.	PONfrt	MORPH=empty
Li	le	DETdef	MORPH=empty
un	un	PROind	MORPH=empty
recontoient	reconter	VERcjg	MORPH=empty
noveles	novele	NOMcom	MORPH=empty
,	,	PONfbl	MORPH=empty
